"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ahamr01: Comparing FSU/UF to USF/UCF is like comparing Mercedes/BMW to FIAT/Smartcar",FALSE,0,NA,2017-11-25 23:59:45,FALSE,NA,"934572347297816583",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danifb55",76,TRUE,FALSE,NA,NA
"#GoNoles #FSU https://t.co/19Li9QzCGU Jacob Pugh says communication &amp; leadership were the difference in the win ove… https://t.co/DOPQ2EHYtf",FALSE,2,NA,2017-11-25 23:58:11,TRUE,NA,"934571953062629376",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","GOSEMINOLESGO",0,FALSE,FALSE,NA,NA
"RT @Noles247: VIDEO: #FSU players and coaches celebrate after win over #UF https://t.co/PIMBMX69mk via @Noles247 https://t.co/l6gZ4rfzJF",FALSE,0,NA,2017-11-25 23:43:22,FALSE,NA,"934568224007643137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DRMPJen",16,TRUE,FALSE,NA,NA
"RT @Noles247: #FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/xuM0aP1Dar via @Noles247 https://t.co/…",FALSE,0,NA,2017-11-25 23:38:20,FALSE,NA,"934566957835345920",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CNee247",13,TRUE,FALSE,NA,NA
"RT @Noles247: #FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/xuM0aP1Dar via @Noles247 https://t.co/…",FALSE,0,NA,2017-11-25 23:37:22,FALSE,NA,"934566712875286528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JRDNole",13,TRUE,FALSE,NA,NA
"RT @melinasphotos: That's a free first down spot given to UF...

A FSU player ejected with no explanation...

A completed pass called incom…",FALSE,0,NA,2017-11-25 23:36:36,FALSE,NA,"934566520394567680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","robertmclaws",12,TRUE,FALSE,NA,NA
"RT @Noles247: #FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/xuM0aP1Dar via @Noles247 https://t.co/…",FALSE,0,NA,2017-11-25 23:33:57,FALSE,NA,"934565854561398790",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Gunntwitt",13,TRUE,FALSE,NA,NA
"#FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/G3Ubwg8Gqx via @Noles247 https://t.co/1m9CNqJDVl",FALSE,3,NA,2017-11-25 23:29:21,FALSE,NA,"934564695410991104",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CNee247",1,FALSE,FALSE,NA,NA
"#FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/xuM0aP1Dar via @Noles247 https://t.co/7dTi9OBpec",FALSE,34,NA,2017-11-25 23:29:21,FALSE,NA,"934564695268306944",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Noles247",13,FALSE,FALSE,NA,NA
"#GoNoles #FSU https://t.co/SZpNH2unNu FSU’s Derrick Nnadi named sod captain following win at Florida https://t.co/Fmfpk8HBfx",FALSE,1,NA,2017-11-25 23:23:17,FALSE,NA,"934563170181623808",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","GOSEMINOLESGO",0,FALSE,FALSE,NA,NA
