"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@dirty_bev5 Bro I’m not arguing the game, I expected a loss for every game this season (UAB included). Like I said,… https://t.co/Xkr5I5P3Lj",FALSE,0,"dirty_bev5",2017-11-25 23:57:01,TRUE,"934571015967051778","934571660090511365","2883411513","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DakotaTheTank",0,FALSE,FALSE,NA,NA
"My favorite rivalry is Army Navy (and of course UF/FSU)",FALSE,0,NA,2017-11-25 22:23:07,FALSE,NA,"934548029239111681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KierstenPace14",0,FALSE,FALSE,NA,NA
"@primediscussion 6 losses in a row to UF but 6 bowls in a row too; UF 5 losses in row to FSU and only 3 bowls https://t.co/K7vgHAQqXh",FALSE,9,"primediscussion",2017-11-25 22:15:01,FALSE,"934532483189805057","934545990782259202","30127096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mattmoore3476",0,FALSE,FALSE,NA,NA
"@DocStaples Do you know if Jimbo really said he hopes this isn't his last FSU/UF game after the game today?",FALSE,0,"DocStaples",2017-11-25 22:04:41,FALSE,NA,"934543390120857605","1656225823","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FSU_JL",0,FALSE,FALSE,NA,NA
"How many straight games has FSU won vs UF? https://t.co/dzcqDhDhKc",FALSE,16,NA,2017-11-25 20:40:52,FALSE,NA,"934522294856282113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mcmullenforus",11,FALSE,FALSE,NA,NA
"Maybe not the season we had initially hoped for, BUT WE BEAT UF FOR THE 5TH YEAR IN A ROW #FSU #BeatUF",FALSE,2,NA,2017-11-25 20:39:28,FALSE,NA,"934521945122623488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kguthrie30",0,FALSE,FALSE,NA,NA
"@onlygators Lose Chip. Lose to FSU. Season over. Likely losing Frost too. And Urban keeps winning. Don’t think the… https://t.co/pyaaoVgxDd",FALSE,1,"onlygators",2017-11-25 20:36:47,TRUE,"934517256758943744","934521267918721027","24487953","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FrankGaulden",0,FALSE,FALSE,NA,NA
"just a quick glimpse at the Davis family dynamic: i woke up thinking @_brookeadavis was in her bed sleeping or what… https://t.co/22Ndv32KoK",FALSE,10,NA,2017-11-25 19:24:00,TRUE,NA,"934502949757341696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bryce__davis__",0,FALSE,FALSE,NA,NA
"This FSU vs UF game ain't even fun to watch.",FALSE,0,NA,2017-11-25 18:22:33,FALSE,NA,"934487485731753985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moses_GPS",0,FALSE,FALSE,NA,NA
"RT @TyGreen904: This FSU vs UF game so pointless it's only state pride.",FALSE,0,NA,2017-11-25 18:03:14,FALSE,NA,"934482625581940736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TevGotThatPack",1,TRUE,FALSE,NA,NA
