"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @joonyang0113: Tried to find FL teams worse than UF at football this year...
UM? Hell No. (Top 5 in nation)
UCF? Def not. (Top 15)
FSU?…",FALSE,0,NA,2017-11-25 23:50:15,FALSE,NA,"934569954820743168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RRefae6",71,TRUE,FALSE,NA,NA
"RT @joonyang0113: Tried to find FL teams worse than UF at football this year...
UM? Hell No. (Top 5 in nation)
UCF? Def not. (Top 15)
FSU?…",FALSE,0,NA,2017-11-25 23:48:30,FALSE,NA,"934569515727380480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","h_rios17",71,TRUE,FALSE,NA,NA
"RT @ucfpanther: Walking around Orlando in my Pitt shirt getting high fives from fsu and uf fans. #H2P #ProudPittMan",FALSE,0,NA,2017-11-25 23:40:04,FALSE,NA,"934567393078251521",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ForbesQuad",1,TRUE,FALSE,NA,NA
"FSU vs. UF Highlights https://t.co/PjbRLioKAC #FSUvsUF #Noles #5-0",FALSE,0,NA,2017-11-25 23:37:36,FALSE,NA,"934566773638254592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChiefEidson",0,FALSE,FALSE,NA,NA
"RT @joonyang0113: Tried to find FL teams worse than UF at football this year...
UM? Hell No. (Top 5 in nation)
UCF? Def not. (Top 15)
FSU?…",FALSE,0,NA,2017-11-25 23:24:55,FALSE,NA,"934563581382840320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kjoanl",71,TRUE,FALSE,NA,NA
"RT @orlandosentinel: Three things we learned following FSU's fifth straight win over UF https://t.co/cn0F2zSMxF https://t.co/QvpowrVoqO",FALSE,0,NA,2017-11-25 23:14:38,FALSE,NA,"934560992289312773",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrahmaXVX",2,TRUE,FALSE,NA,NA
"RT @orlandosentinel: Three things we learned following FSU's fifth straight win over UF https://t.co/cn0F2zSMxF https://t.co/QvpowrVoqO",FALSE,0,NA,2017-11-25 23:00:21,FALSE,NA,"934557398034976768",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","HLSudler",2,TRUE,FALSE,NA,NA
"Walking around Orlando in my Pitt shirt getting high fives from fsu and uf fans. #H2P #ProudPittMan",FALSE,20,NA,2017-11-25 22:55:42,FALSE,NA,"934556228101066752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ucfpanther",1,FALSE,FALSE,NA,NA
"Three things we learned following FSU's fifth straight win over UF https://t.co/cn0F2zSMxF https://t.co/QvpowrVoqO",FALSE,2,NA,2017-11-25 22:52:43,FALSE,NA,"934555474992693248",NA,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","orlandosentinel",2,FALSE,FALSE,NA,NA
"Three things we learned following FSU's fifth straight win over UF https://t.co/drXn15LdfZ",FALSE,1,NA,2017-11-25 22:46:35,FALSE,NA,"934553934181556224",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","orlandosports",0,FALSE,FALSE,NA,NA
"RT @joonyang0113: Tried to find FL teams worse than UF at football this year...
UM? Hell No. (Top 5 in nation)
UCF? Def not. (Top 15)
FSU?…",FALSE,0,NA,2017-11-25 22:45:33,FALSE,NA,"934553675112046592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kylec79",71,TRUE,FALSE,NA,NA
"RT @joonyang0113: Tried to find FL teams worse than UF at football this year...
UM? Hell No. (Top 5 in nation)
UCF? Def not. (Top 15)
FSU?…",FALSE,0,NA,2017-11-25 22:44:07,FALSE,NA,"934553314259238912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dupuis_leonie",71,TRUE,FALSE,NA,NA
"RT @joonyang0113: Tried to find FL teams worse than UF at football this year...
UM? Hell No. (Top 5 in nation)
UCF? Def not. (Top 15)
FSU?…",FALSE,0,NA,2017-11-25 22:43:04,FALSE,NA,"934553048503943168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jarryakeem",71,TRUE,FALSE,NA,NA
"RT @joonyang0113: Tried to find FL teams worse than UF at football this year...
UM? Hell No. (Top 5 in nation)
UCF? Def not. (Top 15)
FSU?…",FALSE,0,NA,2017-11-25 22:37:08,FALSE,NA,"934551556539801600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimberlyVN",71,TRUE,FALSE,NA,NA
"RT @joonyang0113: Tried to find FL teams worse than UF at football this year...
UM? Hell No. (Top 5 in nation)
UCF? Def not. (Top 15)
FSU?…",FALSE,0,NA,2017-11-25 22:35:02,FALSE,NA,"934551028153966592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Matthew_Carbo21",71,TRUE,FALSE,NA,NA
"RT @joonyang0113: Tried to find FL teams worse than UF at football this year...
UM? Hell No. (Top 5 in nation)
UCF? Def not. (Top 15)
FSU?…",FALSE,0,NA,2017-11-25 22:34:32,FALSE,NA,"934550898914807808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kayla_Stokes26",71,TRUE,FALSE,NA,NA
