text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @ahamr01: Comparing FSU/UF to USF/UCF is like comparing Mercedes/BMW to FIAT/Smartcar,FALSE,0,NA,11/25/17 23:59,FALSE,NA,9.34572E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",danifb55,76,TRUE,FALSE,NA,NA
#GoNoles #FSU https://t.co/19Li9QzCGU Jacob Pugh says communication &amp; leadership were the difference in the win oveâ€_ https://t.co/DOPQ2EHYtf,FALSE,2,NA,11/25/17 23:58,TRUE,NA,9.34572E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",GOSEMINOLESGO,0,FALSE,FALSE,NA,NA
RT @Noles247: VIDEO: #FSU players and coaches celebrate after win over #UF https://t.co/PIMBMX69mk via @Noles247 https://t.co/l6gZ4rfzJF,FALSE,0,NA,11/25/17 23:43,FALSE,NA,9.34568E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DRMPJen,16,TRUE,FALSE,NA,NA
"RT @Noles247: #FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/xuM0aP1Dar via @Noles247 https://t.co/â€_",FALSE,0,NA,11/25/17 23:38,FALSE,NA,9.34567E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",CNee247,13,TRUE,FALSE,NA,NA
"RT @Noles247: #FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/xuM0aP1Dar via @Noles247 https://t.co/â€_",FALSE,0,NA,11/25/17 23:37,FALSE,NA,9.34567E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JRDNole,13,TRUE,FALSE,NA,NA
"RT @melinasphotos: That's a free first down spot given to UF...A FSU player ejected with no explanation...A completed pass called incomâ€_",FALSE,0,NA,11/25/17 23:36,FALSE,NA,9.34567E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",robertmclaws,12,TRUE,FALSE,NA,NA
"RT @Noles247: #FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/xuM0aP1Dar via @Noles247 https://t.co/â€_",FALSE,0,NA,11/25/17 23:33,FALSE,NA,9.34566E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Gunntwitt,13,TRUE,FALSE,NA,NA
"#FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/G3Ubwg8Gqx via @Noles247 https://t.co/1m9CNqJDVl",FALSE,3,NA,11/25/17 23:29,FALSE,NA,9.34565E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",CNee247,1,FALSE,FALSE,NA,NA
"#FSU freshman QB James Blackman handles pressure of #UF, Swamp in victory https://t.co/xuM0aP1Dar via @Noles247 https://t.co/7dTi9OBpec",FALSE,34,NA,11/25/17 23:29,FALSE,NA,9.34565E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Noles247,13,FALSE,FALSE,NA,NA
#GoNoles #FSU https://t.co/SZpNH2unNu FSUâ€™s Derrick Nnadi named sod captain following win at Florida https://t.co/Fmfpk8HBfx,FALSE,1,NA,11/25/17 23:23,FALSE,NA,9.34563E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",GOSEMINOLESGO,0,FALSE,FALSE,NA,NA
RT @CNee247: VIDEO: #FSU players and coaches celebrate after win over #UF https://t.co/TgMBdTq91Z via @Noles247 https://t.co/OMZCceGF6C,FALSE,0,NA,11/25/17 23:19,FALSE,NA,9.34562E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",scoobydooicu2,1,TRUE,FALSE,NA,NA
RT @Tomahawknation: FSUâ€™s Derrick Nnadi named sod captain following win at Florida https://t.co/oMoiWELnO4,FALSE,0,NA,11/25/17 23:18,FALSE,NA,9.34562E+17,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iÎŸS</a>",wondersofbilly,4,TRUE,FALSE,NA,NA
RT @Tomahawknation: FSUâ€™s Derrick Nnadi named sod captain following win at Florida https://t.co/oMoiWELnO4,FALSE,0,NA,11/25/17 23:18,FALSE,NA,9.34562E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",iamTony3,4,TRUE,FALSE,NA,NA
"FSU beat UF, and Bama is struggling. It's been a good day. í _í¸Å",FALSE,1,NA,11/25/17 23:18,FALSE,NA,9.34562E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Winkler1994,0,FALSE,FALSE,NA,NA
RT @ahamr01: Comparing FSU/UF to USF/UCF is like comparing Mercedes/BMW to FIAT/Smartcar,FALSE,0,NA,11/25/17 23:18,FALSE,NA,9.34562E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gabynatali_,76,TRUE,FALSE,NA,NA
FSUâ€™s Derrick Nnadi named sod captain following win at Florida https://t.co/oMoiWELnO4,FALSE,20,NA,11/25/17 23:17,FALSE,NA,9.34562E+17,NA,"<a href=""http://www.voxmedia.com"" rel=""nofollow"">Vox Media</a>",Tomahawknation,4,FALSE,FALSE,NA,NA
FSUâ€™s Derrick Nnadi named sod captain following win at Florida https://t.co/8k6tpvqm9L,FALSE,7,NA,11/25/17 23:17,FALSE,NA,9.34562E+17,NA,"<a href=""http://www.voxmedia.com"" rel=""nofollow"">Vox Media</a>",Andrew_Miller36,0,FALSE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 23:13,FALSE,NA,9.34561E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NedSyble,70,TRUE,FALSE,NA,NA
RT @Noles247: VIDEO: #FSU players and coaches celebrate after win over #UF https://t.co/PIMBMX69mk via @Noles247 https://t.co/l6gZ4rfzJF,FALSE,0,NA,11/25/17 23:12,FALSE,NA,9.3456E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",CNee247,16,TRUE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 23:11,FALSE,NA,9.3456E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SPEARnation80,70,TRUE,FALSE,NA,NA
"FSU entered the game with 10 takeaways. Had four today vs. UF, two for touchdowns. https://t.co/UkpbygvE6n",FALSE,4,NA,11/25/17 23:08,FALSE,NA,9.3456E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",BSonnone,0,FALSE,FALSE,NA,NA
"RT @Warchant: Post-game celebration. Fifth time in a row holding the gator head. #FSU 38, UF 22. Post-game coverage on https://t.co/wBSINVAâ€_",FALSE,0,NA,11/25/17 23:04,FALSE,NA,9.34558E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chuckie7754,70,TRUE,FALSE,NA,NA
